time,episode,reward,steps,choosen_moves,random_moves
531,530,3616,636,485,151
532,531,1450,232,173,59
533,532,2231,364,284,80
534,533,3241,533,390,143
535,534,2349,398,301,97
536,535,2796,494,371,123
537,536,2653,501,373,128
538,537,2674,477,352,125
539,538,4589,786,582,204
540,539,2137,321,246,75
541,540,1462,249,175,74
542,541,3980,754,564,190
543,542,2212,463,338,125
544,543,3835,644,491,153
545,544,3147,590,446,144
546,545,2363,502,393,109
547,546,2158,355,259,96
548,547,3097,509,381,128
549,548,2016,393,284,109
550,549,3007,434,327,107
551,550,2990,531,408,123
552,551,3588,627,458,169
553,552,3552,612,476,136
554,553,1455,244,174,70
555,554,2424,436,330,106
556,555,1420,267,180,87
557,556,4963,939,691,248
558,557,2811,515,384,131
559,558,2438,479,345,134
560,559,4760,1036,758,278
561,560,4415,719,547,172
562,561,2599,502,367,135
563,562,4672,910,682,228
564,563,1488,246,185,61
565,564,3087,639,485,154
566,565,2447,419,310,109
567,566,4282,3034,2261,773
568,567,1700,344,252,92
569,568,2260,422,320,102
570,569,2141,375,275,100
571,570,1923,388,289,99
572,571,3544,616,450,166
573,572,2860,615,437,178
574,573,2580,356,269,87
575,574,4290,2915,2165,750
576,575,3712,708,514,194
577,576,2812,600,432,168
578,577,2792,447,319,128
579,578,1560,277,206,71
580,579,3308,558,407,151
581,580,1466,240,175,65
582,581,2466,438,332,106
583,582,2785,518,387,131
584,583,2400,422,296,126
585,584,2111,399,304,95
586,585,2975,509,375,134
587,586,1627,292,218,74
588,587,2084,393,284,109
589,588,2391,463,334,129
590,589,2890,468,361,107
591,590,1974,301,222,79
592,591,1871,343,267,76
593,592,1660,239,181,58
594,593,2489,391,296,95
595,594,3864,2989,2253,736
596,595,1556,255,188,67
597,596,1571,225,181,44
598,597,1961,345,274,71
599,598,3096,580,441,139
600,599,3033,551,406,145
601,600,2029,360,274,86
602,601,2026,343,259,84
603,602,2548,393,309,84
604,603,4472,930,689,241
605,604,1533,240,179,61
606,605,2908,491,378,113
607,606,2058,321,233,88
608,607,1436,236,186,50
